City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ribeira grande,38.5167,-28.7,55.8,62,40,12.66,PT,1681945371
146,beloha,-25.1667,45.05,70.81,93,82,10.69,MG,1681945151
147,weligama,5.9667,80.4167,78.78,85,9,2.93,LK,1681945371
148,sao joao da barra,-21.6403,-41.0511,77.09,89,98,8.59,BR,1681945372
149,hobyo,5.3505,48.5268,83.43,68,98,10.18,SO,1681945372
150,duldurga,50.6761,113.5931,20.84,57,1,22.84,RU,1681945372
151,yar-sale,66.8333,70.8333,5.58,89,79,5.1,RU,1681945372
152,acapulco,16.8634,-99.8901,86.13,56,60,9.51,MX,1681945243
153,castro,-24.7911,-50.0119,54.3,74,0,8.97,BR,1681945373
154,sao filipe,14.8961,-24.4956,74.82,73,75,6.78,CV,1681945373
155,si bun ruang,16.9667,102.2833,83.55,45,0,5.59,TH,1681945373
156,san policarpo,12.1791,125.5072,81.93,81,17,7.63,PH,1681945373
157,zhezkazgan,47.8043,67.7144,41.88,59,61,5.79,KZ,1681945374
158,lazaro cardenas,17.9583,-102.2,83.21,60,30,10.67,MX,1681945374
159,namibe,-15.1961,12.1522,77.41,73,42,3.44,AO,1681945374
160,morada nova,-5.1067,-38.3725,76.68,89,88,5.97,BR,1681945320
161,longyearbyen,78.2186,15.6401,15.64,67,20,8.05,SJ,1681945374
162,bambous virieux,-20.3428,57.7575,79.21,78,75,11.5,MU,1681945374
163,kushmurun,52.4503,64.6311,37.62,85,91,9.22,KZ,1681945374
164,buala,-8.145,159.5921,83.59,67,13,2.46,SB,1681945374
165,thompson,55.7435,-97.8558,35.76,41,75,12.66,CA,1681945221
166,viedma,-40.8135,-62.9967,61.45,56,0,1.68,AR,1681945312
167,karratha,-20.7377,116.8463,72.32,37,6,16.24,AU,1681945375
168,samarai,-10.6167,150.6667,82.35,71,27,5.91,PG,1681945375
169,marsh harbour,26.5412,-77.0636,74.28,75,100,20.49,BS,1681945204
170,los llanos de aridane,28.6585,-17.9182,64.15,86,100,5.75,ES,1681945375
171,mar del plata,-38.0023,-57.5575,55.94,68,20,6.91,AR,1681945099
172,caluquembe,-13.7833,14.6833,63.18,76,78,1.95,AO,1681945376
173,cap-chat,49.1001,-66.6821,41.0,75,84,18.41,CA,1681945376
174,nioki,-2.7167,17.6833,74.98,83,95,0.98,CD,1681945376
175,puerto madryn,-42.7692,-65.0385,71.22,47,0,14.88,AR,1681945376
176,axim,4.8699,-2.2405,79.59,85,90,1.34,GH,1681945376
177,sibolga,1.7427,98.7792,76.37,91,94,2.37,ID,1681945377
178,bonavista,48.6499,-53.1147,31.98,92,100,13.35,CA,1681945377
179,gweta,-20.1833,25.2333,68.68,31,0,12.24,BW,1681945377
180,teguldet,57.3064,88.1667,17.4,94,99,4.92,RU,1681945377
181,cap malheureux,-19.9842,57.6142,79.47,76,18,5.99,MU,1681945275
182,riyadh,24.6877,46.7219,64.54,59,87,6.06,SA,1681945232
183,igrim,63.1906,64.4162,27.7,93,100,6.8,RU,1681945378
184,jackson,42.4165,-122.8345,55.4,54,75,11.5,US,1681945346
185,coshocton,40.272,-81.8596,73.74,46,21,1.21,US,1681945378
186,agirish,61.9247,63.0231,21.34,92,81,5.37,RU,1681945378
187,pringsewu,-5.3582,104.9744,73.85,97,100,3.53,ID,1681945378
188,aksu,41.1231,80.2644,46.6,64,100,9.84,CN,1681945378
189,mumford,5.2618,-0.759,80.31,84,100,5.95,GH,1681945379
190,khatanga,71.9667,102.5,-10.39,100,100,1.32,RU,1681945379
191,dumai,1.6833,101.45,74.62,98,100,1.57,ID,1681945379
192,puerto quijarro,-17.7833,-57.7667,72.3,91,90,2.71,BO,1681945380
193,nanortalik,60.1432,-45.2371,32.49,89,50,5.61,GL,1681945380
194,smirnykh,49.75,142.8333,45.66,59,7,2.8,RU,1681945380
195,chokurdakh,70.6333,147.9167,2.12,96,99,2.77,RU,1681945380
196,maragheh,37.3917,46.2398,57.65,50,100,1.45,IR,1681945380
197,stodolishche,54.1859,32.6492,45.88,71,34,11.79,RU,1681945380
198,chiang khong,20.2613,100.4046,71.6,46,0,1.63,TH,1681945381
199,kiama,-34.6833,150.8667,63.37,84,100,3.0,AU,1681945372
200,heihe,50.2441,127.4902,32.58,93,100,11.56,CN,1681945381
201,torbay,47.6666,-52.7314,35.28,93,100,12.66,CA,1681945381
202,lasa,46.6166,10.7002,48.69,92,100,1.36,IT,1681945381
203,strezhevoy,60.7333,77.5889,25.61,96,99,7.94,RU,1681945381
204,camacha,33.0833,-16.3333,58.42,77,20,4.61,PT,1681945360
205,praia da vitoria,38.7333,-27.0667,53.85,82,40,17.49,PT,1681945382
206,miri,4.4148,114.0089,75.34,94,20,4.61,MY,1681945174
207,ranot,7.7777,100.3213,81.21,78,100,5.68,TH,1681945382
208,konevo,62.1215,39.3192,31.55,99,100,3.42,RU,1681945382
209,terra santa,-2.1042,-56.4869,76.39,88,82,2.13,BR,1681945383
210,mnogovershinnyy,53.9353,139.9242,29.79,62,15,2.35,RU,1681945383
211,vao,-22.6667,167.4833,76.48,76,99,4.97,NC,1681945384
212,maragogi,-9.0122,-35.2225,79.63,84,23,10.07,BR,1681945384
213,pauini,-7.7136,-66.9764,77.88,84,97,1.5,BR,1681945384
214,biak,-0.9131,122.8766,78.08,84,79,0.45,ID,1681945384
215,half moon bay,37.4636,-122.4286,66.42,53,0,17.27,US,1681945211
216,erenhot,43.6475,111.9767,38.44,24,46,3.36,CN,1681945385
217,avarua,-21.2078,-159.775,78.85,89,75,16.11,CK,1681945385
218,kyshtovka,56.555,76.6271,22.91,88,62,5.99,RU,1681945385
219,dandong,40.1292,124.3947,54.43,71,77,3.56,CN,1681945385
220,dikson,73.5069,80.5464,4.08,96,99,10.78,RU,1681945386
221,prince rupert,54.3161,-130.3201,46.49,70,40,19.57,CA,1681945147
222,mayumba,-3.432,10.6554,79.5,86,100,2.13,GA,1681945386
